Rating,Label,Review_Text
5,1,"Hands down my FAVORITE PLACE to go to.. I am serious.. I came here twice.. First, my brother came to visit me overseas and he loves Japanese food.. So I yelped and found out about cocoron.. My brother only wants authentic Japanese soba so he recommend me to order a cold soba.. I know most ppl enjoy hot noodles but soba you usually eat it cold.. So on my first time here, my brother and I both ordered a cold soba.. Mine was on a special menu with some beef, fried squid bites and the cold dipping sauce in cold buckwheat noodles.. Mmmm.. My brother loves it so much that he requested me to return and fedex some noodles for him.. I went back 2nd time with my friend and I decided to order their famous dip.. Mera mera dip.. It has mince chicken, bak choi, chili oil... It's spicy and delicious.. They suggested you to dip the noodles in for 5 seconds.. We came ??in a party of 4 so I tried my friend's dipping sauce and I am truly impressed with all of it.. After your meal, they give you a pot of not kombu water to pour into your dipping hot pot so you can drink it as a soup.. One thing, their appetizer is really small.. So don't be surprise! As for the wait?. I guess I was lucky that I never had to wait twice when I came here.. Can't wait to come back again!"
2,1,"I'm a week behind posting this. I have posted pictures of each dish named below however. Sorry... As part of our continuing efforts to try everywhere new, an ambition of my husband's, we went here for the first time on a Sunday for brunch with my in-laws. First, be advised: CASH ONLY! It is on the menu in caps, but at a very small size of print. Secondly, it IS pricey by my accounting. (Of the 4 of us, nobody's meal was less than $10 and we order cheap.) It also says BYOB on the bottom...? Walking in we were greeted by a blond guy wearing actual blue jean overalls. This and the small size of the place seem to be the main features designed to give a ""Southern"" feel to the place. The tables are set up in Italian long, family style. There are two rows in the place and each consists of 5-6 tables which are normally meant for 4 people each. At the far back of it is a larger size projection screen. (On our visit it was playing WWF and was obviously pointless since NO ONE was watching it.) The iced coffee my husband and I ordered (which we get everywhere on Sunday eating out events) was served in Mason jars of 1/2 pint size. (Which I know cuz I do home canning.) The coffee was unremarkable in my view. The noise level was impressively LOUD in a bad way. Maybe it's just me and my sound sensitivities, but a large group of people stacked together at tables PLUS loud music (which is loud in its own right) does not make me think ""comfort"". It in fact makes me think ""BAR"". And now, to the food.... My father-in-law got the ""Lunch Burger"" which was a straight up burger and fries for a price that seems too much to me. I am told it was ""ok, but not remarkable."" My mother-in-law had the ""Perfect Storm"" which looked to me like a salad with Salmon on top of it. She had no significant comments about it except she was glad she got the Hollandaise sauce on the side. Since my hubby and I often share our meals to save money and to try new things... He got the ""Breakfast Burrito"". (See his review for his thoughts.) The few bites of this large creation I had were not bad, but also not so delicious I thought ""I could never make something like this!"" In fact the reverse. My husband agreed with me when I said it seemed just like what I've made him for weekend meals before. (*Yes he got bonus points for saying he probably enjoyed mine better.*) Now to my order of biscuits and gravy... To my eye, it was a large portion. (Which I'd hope given the $$) The gravy had a bit too much pepper in it for my tastes. The biscuits were good and thick cut. I had a good 1/4 of it before I tasted the sausage that is apparently part of the gravy. While I do not yet know the skill of sawmill gravy, I hope mine is better. My hubby said he liked it, but the biscuits weren't as soft as the ones I make us. (*Yes, he got more bonus points. No, he wasn't trying to earn points.*) Note to self: next time hubby says he thinks I should get the pancakes, do it. The final bill was upwards of $50. Yeesh!! The overall meal was not bad per se, but certainly not what I'd call ""worth the trip or cost."""
5,1,"There are so many choices in Little Italy, it can be somewhat overwhelming. ??I have been to several of the restaurants and Pelligrino's is a standout. ??The service was impeccable. ??I had the lasagna and it was simply the best that I have ever had, it was so flavorful and the portion size was just right. ??I tried my sister's fettuccine Alfredo and it too was awesome. ??I had ordered that dish last week at a competing restaurant and this was definitely better. ??The sauce was creamier and thicker, it really clung to the noodles. ?? Another thing that really made this restaurant stand out from the pack was their tomato bread. ??Unique and delicious is the best way to describe it. One if my friends who generally doesn't like bread with her meal scarfed down several pieces. ?? A total of eight thumbs up from all of us!!"
3,1,"Had a slice of the spinach and artichoke and the margherita @ 4.50 a slice Spinach and artichoke was.. Different. Basically kind of like an Alfredo sauce poured all over the slice you can kind of see it swash around as you eat it. It was good for a couple bites, but was just too rich for me. If you like rich, you'll like this. Margherita was good, but typical. Definitely not the best margherita I've had in the city or anything though. Overall, worth stopping by to try, but not sure if I'll come back."
5,1,"Great restaurant! Fresh, perfect portions & great customer service. Highly recommended!"
4,-1,"The list is always changing and features uncommon beers. The food isn't the best I've ever had but honestly I don't come for dinner, I may just grab a snack. Highly recommended."
5,-1,"The rayu sauce is delicious!!!! ??Fantastic taste, excellent service, friendly staff and cool feeling place. The ambiance is very cool because they cook everything in front of you. The food comes out fast, especially in the dinner service. Overall, Totto was worth the wait, especially with bar seating. And now I'm craving some ramen."
4,1,"THE LAMB BREAST HERE IS OFF THE F*CKING CHAIN GOOD!!!!!! With that being said my friend and i had a very good time at Do or Dine...We loved the Steak Tartare...It had a really nice texture and was seasoned very well...Jam packed with flavor...Also enjoyed the playful Foie Gras and Jelly Donut...Would have liked the foie to be more evenly distrubuted throughout the donut, but no big deal... The Lamb Breast was so good that we ordered one more dish right before our entrees came out...Hope we did not interfere too much with the pickups back there... It was super super super seasoned but somehow managed not to be overseasoned? ??Yes I know very weird... Duck Breast and Steak entree were nice as well... Loved the decor and eclectic music selection here... I will be back soon..."
1,-1,"I can't give this more than 1 star because from start to finish the experience was a disaster. Ran out of rose, spaghetti and lobster came out with lobster covered in sauce in the shell and when I asked to have the kitchen remove the shell it was returned with part of the tail- none of the claw. That's when confusion in the kitchen began- saying their was no more lobster meat- I've never seen a lobster without claw meat- have you? Dishes were removed before everyone was done. And then they couldn't process credit cards. The overall confusion was unlike any I've seen in NY. I give it 1 star because the waitress was giving it her all and the food tasted good. The headache in the middle of the night from 1 glass of wine and the upset stomach along with the experience prevent a second star."
1,-1,"I went to this restaurant with my baby last Wednesday around 5 pm. I asked for a table for 2 and a baby, told them I was waiting for my husband. There were only two busy tables in the restaurant. When waiter sat us next to the restroom and never came back. I went to the bar where he was texting, and asked him if we could switch to another table, and so we did. When we moved to the other table, no one came to greet us, there were 4 waitress at the bar talking to each other and using their cell phone, and no one even bother to even look at us. After waiting 20 minutes, I saw one of the waitress taking off her sneaker and rubbing her foot, then she put her sneaker back and went back to the bar, without even washing her hands. ?? That's when I grabbed my baby and left. Absolutely no costumer service! Never coming back."
4,-1,"Went here with 9 people tonight. We all really enjoyed it. Great dumplings. The crispy spicy eggplant special was light and favorful. The fried tofu and bean noodle soup was a little bland but we ordered it vegetarian. The scallion pancakes were among the best I've ever had. I wish I had more room to try the cold mock duck amd the sesame noodles. All and all, a great find in the heart of Chinatown. We left full with lots of leftovers for $20 pp including tip!"
5,-1,"The service was impeccable, the food was all delicious. Highly recommended."
4,1,"Incredible NYC speakeasy; dimly lit, and with an earthy and classic feel. Dark Horse is nestled away on Murry St, walking distance from the 9/11 Memorial and Wall Street. Inside they have an awesome speakeasy feel with rustic and comfortable booths. They have about 10 TVs showing sports, and personal TVs at the booths. The staff was very welcoming, friendly, and attentive. I had the Dark Horse Signature Burger and it was incredible; easily on of the top 5 burgers that I have ever had. The burger was cooked perfectly and topped with bacon, onions, fried egg, and Jack Daniels gravy. I've never had gravy on a burger; but wow, what a perfect match! They have a wide craft beer selection as well. I highly recommend the Anchor Steam and Mangers Irish Cider. If you're looking for some good eats around the 9/11 Memorial and Wall St., certainly give Dark Horse a try! Make sure you check in on Yelp to receive your free drink while the offer lasts!"
4,-1,The food is fantastic here and it is a gem of a place. ??Nestled in the heart of the village this little secret italian place promises and delivers fully. ??Enjoy everyone.
5,1,"I am obsessed with this place. ??Before I lived in NYC, I would visit my friends often, and this is one of the first brunch places they took me to. ??I keep going back for the creative dishes, fun and young atmosphere, and people watching! ??I've had every kind of benedict, and they all hold up. ??They have a great Sunday night beer + burger special option, too. ??It's on the pricer side for brunch dishes, but the nice touches that come with the Smith (sparkling OR stilled water, the photobooth downstairs...) make it worth my money. ??This place is my go-to for out of town guests or if I feel like doing something special with my friends."
5,1,"I loved this place. Good food, good service and super cozy! Perfect for date night! The lamp skewers were amazing! Also had the peppers, chorizo, clams and cheeses ( weird combination i know lol) all very yummy! And you can hold a conversation. It get packed quick and people waiting in line so get there early!"
3,1,I have eaten here twice so far in the last two days .... ??Its classic southern food done well. I am a big eater so for me the portions were small and for the price I did expect alittle more. So far I had the pulled pork sandwich and the catfish both times I choose the mac and cheese which was good but I hate there cole slaw as it is vingar based. The slaw tasted like mayo slaw that went bad. Each lunch box which I had came with dill pickle chips which are very yummy. ??I will return back but only because its so close to where i am working now and I would rather pay alittle more for something good then get a whole plate of bad for less
4,1,"My boyfriend and I went to Alta for our Valentine's Day dinner and had a fantastic experience. We're not overly ""romantic"" people but wanted something with a cozy, charming atmosphere, and Alta definitely delivered. We sat downstairs in the main room near the fireplace which was great! The room had a laid back but elegant vibe. As for the food, everything we tried was delicious! I think my favorite dishes were the mussels, avocado relleno and shrimp risotto. We washed it down with the red sangria which was wonderful. I'm knocking off one star cause the service could have been better. However, I would absolutely recommend this restaurant to a friend. Especially a friend going on a date!"
4,1,"it's hearty comfort food. we came here for lunch last week. we had the chickpea and fennel soup, the spinach triangles, and the lamb sandwich. their portions are enormous - we were stuffed. their sage tea is a standout. the place is tiny and cute - charming simplicity. our waitress was nice."
4,1,"First lunch of 2012-retro W'burg retro chic decor- check. ??Nice wooden booths. ??Housemade sodas, a bar with many options. ??I was enjoying my booth early in the meal. Ordered: Cesar salad $8 Lobster Roll- $24 The food came together as requested. Cesar was garlicky, respectable, too full of nice brioche croutons. ??I would skip the Cesar. ??Head straight fot he Lobster Roll. Seasoned w/ some Old Bay, herby, chunky on brioche it is a mighty fine lobster roll. ??Fries were super salty- love that. ??Quite a bite for $24, but all in all worth it for a taste of summer on 1/2/12."
4,1,Amazing burgers. End of story.
5,-1,"A friend and I had brunch at Saxon + Parole a couple weeks back. So good. We started off with a basket of their homemade pastries and bread. I remember especially loving the cornbread muffin and mini cinnamon roll. Mimosas? Check. They had a healthy portion of champagne which is always appreciated. And although it's not my cup of tea, I saw a ton of Bloody Mary's going around. The restaurant had a cart set up where people could assemble their own and add accoutrements/toppings. It's like an ice cream shop for big kids over there. I ordered the Mangalista Ham. Eggs Benedict is my favorite meal, so it was a natural choice. ??The ham is sandwiched between a poached egg and a potato Parmesan cake. I loved the potato pancake and actually prefer it over the traditional English muffin. One of my biggest peeves is hollandaise without any citrus. I typically load mine with lemon, but the yuzu was a new twist, and I loved it. My best friend ordered the baked eggs and thoroughly enjoyed them. We ordered the basket of fresh doughnuts. We were stuffed, but it's hard to resist warm, sugar and cinnamon doughy pockets of amazing served with vanilla and chocolate sauces. Service was excellent - Kylie took great care of us. And the space was beautiful. I walked past the restaurant last weekend and saw the terrace was open. I'll be going back to brunch alfresco."
4,1,"I dig this bar! Cheap, tasty drinks + low-key, dive-y atmosphere + great location. The orange creamsicle is a conccotion of vanilla vodka and orange soda. Yes. Solid beer selection as well. Walking distance from The Nitehawk so you can get your drank on after an artsy flick. Will be sure to swing by whenever I'm in the neighborhood."
5,-1,"My absolutely ""favoritist"" restaurant!!!! The choices are amazing...I just wish there were small tasting plates so I coulod have a bit of everything!"
5,-1,this is the greatest thing i have ever eaten in my entire life. ??that is all.
5,-1,"This little spot serves superb food at very reasonable prices. The $35 tasting menu (that's appetizer, entre and dessert) is ??a steal. The French trained chef changes the menu seasonally and always provides choices in each category. The presentation is worthy of any French joint in Manhattan and then some. Service was quick and respectable. I was able to bring my own wine as they don't have a license yet and that only adds to the bargain. We are thakful that French food, beautifully prepared and so tasty, is available locally. Give it a try!!!"
5,1,The tacos are so authentic I forget I'm in NYC and revel in being South of the border on vacation . ??I usually get chicken tacos with their home made medium salsa but the quesadillas are equally sublime.
4,1,"I love Ngam & I love Chef Hong, she's so sweet I found out about this place because my friend saw Chef Hong compete against Bobby Flay on Iron Chef America & we had to try it! --pad kee mao: YUM my fav dish i've tried so far, it's definitely SPICY so beware!! tried it w/ shrimp & the shrimp was cooked perfectly --pad thai: good too, made the authentic way w/o artificial sauces.. they allowed me to order it w/ a mix of both chicken & veggies! --papaya pad Thai: a delish low carb version!! --green curry: fresh & served w/ rice --thai iced tea: they brew their own tea --thai iced coffee: not too sweet --coconut juice: YOUNG COCONUT so sweet and good served with slices of real coconut --brownie cake w/ lychee-like custard (this was complimentary to our birthday girl): sounds weird but they actually paired well together & the custard had such a unique flavor i've also come for the thai COOKING CLASS they offer once a month!! it was such a great experience, Chef Hong taught us so much about the ingredients! she even accommodated some of my classmates who were vegetarian NOTE: they have a HUGE wooden table in the middle of the restaurant that is perfect for large group reservations"
5,-1,Being that it was my first time in Dig Inn Kay Kay was very helpful in letting me know what your restaurant is all about. She really sold me on the sandwiches that I purchased 2. I will be returning most definitely.
5,1,Delicious. ??The Pho Real is fo real!!
4,1,"I think I wanna go to that spot on Atlantic Ave., the vegetarian one where -  My wife's head exploded before I could finish that sentence. Her combustion was for a noble cause, of course, defending my unwaveringly carnivorous ways. In fact, Maimonide Of Brooklyn supports its own form of martyrdom, as well, it would seem. No, not for the same cause as my own, as you will surely find no meat on the menu here. But to commemorate various befallen friends (in this case, fruits and vegetables), mounted like deer heads along one wall - ""Mr. Avocado, 2009-2010, died for guacamole,"" ""Miss Banana, June 2008-August 2008, died for banana bread"" - you get the idea. But before we go any further, let's resurrect the wife in this sensationalized account, so that I don't end up sleeping on the couch tonight. And she's back. Now. Why would it appear that I, a self-professed meat-eater extraordinaire, am pouring on the praise for a place that praises produce over processed animal entrails? It's no riddle, my friends. Even as a rabid devourer of protein-and-fat, I simply, sincerely enjoy the food at Maimonide, in all its earthy goodness. What helps is their vegetarian dishes' ability to prove themselves as supremely hearty, and not only healthy, alternatives for all my fellow meat-eaters out there. Take the Belly Charmer MOB, for example. Essentially a robust flatbread of sorts, in the shape of one of the Brooklyn Bridge's signature arches (or maybe just a boat to anyone choosing to ignore iconic architecture), this veggie vessel's cargo includes eggplant, pistachios, harissa, zucchini, mint, carrots, and about a dozen other items I don't treat my body to often enough. These ingredients are not only substantial picks, but the crust of this MOB is thick, wholesome, and delicious. Maimonide is also a bit of a brunch underdog. It flies far enough under the radar on the weekend that there's not much of a crowd - even though there most definitely should be. The Buttermilk Biscuit Sandwich is a fine choice (although I can't defend its ""sandwich"" status given it crumbles into pieces of eggplant, avocado, tomato, and carbs pretty much upon first grab), but the real winner is the Spicy Yellow Grits. Of course, this was what the wife ordered, so I was reduced to stealing bits of garlic sauteed kale and Japanese sweet potato ""sausage links"" from her bowl when she wasn't looking. Creative vegetarian cuisine aside, Maimonide Of Brooklyn reaches interior design nirvana. It's jam-packed with Kings County pride and Americana punk sensibility. Those same arches found shaping your tasty MOB are the same ones carved out as doorways between the dining area and the back bar / kitchen, again paying homage to the most famous of East River crossings. The wall opposite the aforementioned hunting trophies is a giant, re-imagined star-spangled banner, seating is comprised of four, giant communal tables, plus an arcade table (Pac-Man and Spade Invaders are free of charge!), the music ranges from jazz to indie rock to hip-hop, there's an origin-story-style comic book about the establishment for your reading pleasure, and there's even back patio outdoor seating for the warmer months. To all my carnivore comrades, while I know my enthusiasm here may be overwhelming, do not fear for me. I still almost always order the burger if I see it on a menu. Veal is still in my diet, even after seeing that South Park episode years ago where the boys discover it comes from baby cows. And bacon, well - my love for bacon isn't going anywhere. Call me an animal. No pun intended. But Maimonide of Brooklyn may very well be the first (and right now, only) vegetarian spot that's had me under its spell, to the point where I've actually craved it. It's conflicting and confusing to admit this, and trust me, typing it all out doesn't make it any more logical to me either. But just try to resist its casual-cool demeanor and veggie goodness. Wait, what am I saying? Where did this come from? Who am I? Man, it's enough to make one's head explode..."
5,-1,"The Chicken and grits could possibly solve all the worlds problems, it is absolutely absurd how good this is."
3,1,"Went here for lunch with my parents when they came to visit. ??We enjoyed their lunch special, $17 for a salad and trio pasta sampler, which is unlimited. ??The restaurant is cozy and service is on par. ??Caesar salad was great and the pasta was ok. ??It seemed like they cook it in big batches for this lunch special, and therefore isn't the freshest. ??Some of mine was cold. ??I would like to go next time and try an entree instead of the pasta special."
3,1,"We came expecting to be wow'ed. We left wishing we'd spent our money elsewhere. The wait staff were excellent, and the place has a great atmosphere, but the food was just average."
4,1,The entrance around the corner is hard to find. Love the atmosphere. The food is good enough to not distract from it.
2,1,"The food here is excellent. ?? My complaint is with the rewards program. ??Look, if you don't want to have a rewards program, don't have one. ??There is no law that says you need to have one and plenty of equivalent places just skip that whole practice. But, if you are going to have one, at least don't make it insulting. ??First, if I purchase two sandwiches, I should get two credits. ??Don't do it by visit. ??That's just dumb. ??Second, give me a friggen proper reward if I get t10 sandwiches instead of making me come back for a breakfast pita (yep, you only are entitle to a breakfast pita if you do them the favor of eating 10 regulal meals there). ??Thanks for the offer - everyone loves having Taboonette for breakfast. Seriously, your food is awesome although a bit pricey. ??Just take down the rewards program since you obviously don't want to reward your loyal customers. ??It's just insulting. ??Either that or make it a real program."
3,-1,"ok, let me say that I have been here a few times a while back and the food has always been good, but I just had to write this because of the recent service that I got. ??I went in the other day and I guess it was pretty early.....I didn't notice any signs that they were closed for dinner setup and assumed that I could get a table, So we went in and then just waited. ??I thought it was great, I stayed at the front waiting to be seated and everyone just looked at me and pretended I wasn't there. ??Two, ??what seemed to be bartenders to my immediate left at the bar, chit chatting away and a few staff all the way at the end, appeared to be counting their $$$. ??Anyway, I left pretty disappointed. ??You would think someone would say......""we're sorry, but we're closed until 6 for dinner setup"" or something. I guess they just had such a successful run they just don't care. This is what happens when a restaurant is just making too much money.......must be a nice luxury to have!!!!!"
1,-1,"As a Latino I've had better Spanish Food. This place sucks. It's a perfect location for the new transplant of whites that now dominate alphabet city. Don't waste your time coming here to find that Spanish rice or tostones or bistec, you won't find it here as i said it caters to blanquitos Latinos that don't know true Spanish food."
5,1,"It's rare when, from initial website perusal to walking into the restaurant, you think at every point along the way ""This is going to be just right,"" and it is. And not only just right, but SO right. Cookshop was, for me, that place. If I had to distill my guiding culinary principles into three words, these might capture them: seasonal, authentic, and creative. The first is clear enough: you start with what's there, then. By authentic, I mean dishes true to their composition; while I intellectually respect genius kitchen chemists like Dufresne, what I carnally desire is purer, less meddled-with food. By creative, I mean the ability to take those seasonal foods, respect their essential authenticity, and in doing so find ways to play them off each other such that the whole is more than the sum of its parts. Oh, and then there's lovely and decadent. Obviously.... If any of that rings true with you, get thee to Cookshop. The menu's already vastly different from when I visited a month ago, but this is the kind of place where you really should just ask what's good, or explain what you like, and you'll get something to love. My friend knows Andrew, the chef, and Andrew's explanation to me of the particular sauce he made to go with a pork chop is what sold me on that dish: a historical, oft-ignored recipe for something you don't see often (currants), but which contrasted in its red acidity so beautifully with that hint of sweetness and fattiness of the chop. And so it went for the rest of dinner, in all the plates. There's a different type of genius that's required for excelling at this kind of cooking; instead of manipulating food, you coax it. Instead of deconstructing it, you taste it and listen to what it tells you it wants. And then you do that, and get out of the way. And the way in which all this perfection is executed is appealingly comfortable; you don't see the work that goes into it, and the plates don't sit in front of you screaming to be admired. They want to be eaten, and savored, and enjoyed. So you'll do all of those things, and wish you could come back tomorrow for more. It's damn good food, which by my standards above makes it excellent. Add that to a welcoming, friendly environment with lots of bustle and energy, and brightness from the wall of windows onto 10th Ave, and it's one of my top dining nights to remember."
5,-1,"Best Vietnamese sandwich I've had in a long time--cheap, super fresh ingredients, and spiiiiiiicy! Plus, if you want to blow your lid or run ten miles in as many minutes, get an iced coffee."
1,1,"SO .. let me start off with I love artichoke pizza. I would give it five stars.. no really but this crappy 1 star review is for security letting some rich dude probably trying to impress his basic chick pay him to cut in line at peak hours .. not cool. ?? oh I was there 8/24/14 around 3am. so manager if you are reading this, fire that useless idiot that clearly does not know how to do his job. unpleasant experience. my pizza was amazing though. (the crab pizza is superior here compared to the other locations)"
4,1,"Tried this place for the first time during restaurant week last year with some friends. I was so impressed that every time someone comes from out of town or from another country, I make it a point to bring them to ilili! I've brought some friends from Australia, Argentina, Paris, and Sweden here, and all have been blown away. The Labne is out of this world! If your friends decide to share plates, make sure to tell them this one is not up for grabs. PLEASE PLEASE PLEASE order the candy bar for dessert. You will not be disappointed!"
3,-1,"Food is good, but is it really worth the wait?"
5,-1,AWESOME SPOT. Food is usually great and service as well. Sometimes a little aggressive. Calamari is Great and a lot of other items. Great Albanian Owner!
1,-1,"I'm writing this review as my stomach churns from the disastrous pernil i was served at this place. Not only did the pernil taste like it was drenched in orange juice, my plate plus cup of coffee cost me about 21 bucks. As a Hispanic person who frequently cooks this meal and buys this meal, it's not that fucking expensive. The crowd is horrendous, they're lucky i didn't dine and ditch."
1,-1,"Never posted on yelp before but this is the first time my whole life a restaurant charged me more than I agreed to pay... They gave themselves extra tip on a dinner I ate there. I tipped them $10.50 on a $79.50 meal, they gave themselves an extra $6.50"
1,1,"OMG what a disappointment! We went specifically on the 4.5 yelp rating. Haricot vert salad to open was just fine. My wild salmon was overcooked and tasted farmed. The cioppino as a DISASTER! Each piece of seafood had that unmistakeable taste of notfresh. Overcooked AND notfresh! WTF?! We're just flabbergasted that a restaurant so highly recommended could disappoint so thoroughly. I hate to hate on a cute nice establishment like this, and maybe they had an off night, but...whatever. If you're a restaurant that specializes in seafood, make sure you serve it fresh."
5,-1,"Gaia is my favorite little place to eat!!!!!!! Amazing food, amazing owner and inanely good prices. Ten stars!!!"
